Iter;McCC;CC;CCL;CCO;CI;CLC;CLLC;LDC;LLDC;LCOM5;NL;NLE;WMC;CBO;CBOI;NII;NOI;RFC;AD;CD;CLOC;DLOC;PDA;PUA;TCD;TCLOC;DIT;NOA;NOC;NOD;NOP;LLOC;LOC;NATTR;NG;NLA;NLG;NLM;NLPA;NLPM;NLS;NM;NOS;NPA;NPM;NS;TLLOC;TLOC;TNA;TNG;TNLA;TNLG;TNLM;TNLPA;TNLPM;TNLS;TNM;TNOS;TNPA;TNPM;TNS;Project;Model;F1X;F1D2;F1D3;F1D4;PrecX;PrecD2;PrecD3;PrecD4;RecallX;RecallD2;RecallD3;RecallD4;AUCX;AUC2;AUC3;AUC4;SENX;SEN2;SEN3;SEN4;SPCX;SPC2;SPC3;SPC4;MCC;MCC2;MCC3;MCC4
1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;glm;0.6344086;0.6417112;0.6489362;0.6349206;0.7662338;0.7692308;0.7721519;0.75;0.5412844;0.5504587;0.559633;0.5504587;0.8617875;0.8619025;0.8623163;0.8630061;0.5412844;0.5504587;0.559633;0.5504587;0.9548872;0.9548872;0.9548872;0.9498747;0.5679991;0.5754491;0.56799913;0.5638873
1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;knn;0.1451613;0.1626016;0.1451613;0.1774194;0.6;0.7142857;0.6;0.7333333;0.08256881;0.09174312;0.08256881;0.1009174;0.5881217;0.5852015;0.5876963;0.5894093;0.08256881;0.09174312;0.08256881;0.1009174;0.9849624;0.9899749;0.9849624;0.9899749;0.1637703;0.2049228;0.16377033;0.2204236
1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;naive_bayes;0.5774648;0.5793103;0.5804196;0.5910653;0.4685714;0.4640884;0.4689266;0.4725275;0.7522936;0.7706422;0.7614679;0.7889908;0.8133177;0.812352;0.8186061;0.8171116;0.7522936;0.7706422;0.7614679;0.7889908;0.7669173;0.7568922;0.764411;0.7593985;0.4485412;0.4522071;0.44854123;0.4695093
1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;rf;0.6815642;0.6666667;0.64;0.6358382;0.8714286;0.8676471;0.8484848;0.859375;0.559633;0.5412844;0.5137615;0.5045872;0.8729737;0.8757099;0.8729047;0.8776758;0.559633;0.5412844;0.5137615;0.5045872;0.9774436;0.9774436;0.9749373;0.9774436;0.639661;0.625401;0.6396613;0.5963387
1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;rpart;0.6338798;0.6461538;0.6179775;0.6179775;0.7837838;0.7325581;0.7971014;0.7971014;0.5321101;0.5779817;0.5045872;0.5045872;0.8099492;0.8098342;0.8096848;0.8096848;0.5321101;0.5779817;0.5045872;0.5045872;0.9598997;0.9423559;0.9649123;0.9649123;0.5725491;0.5696124;0.57254913;0.5625718
2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;glm;0.6702128;0.6702128;0.6666667;0.6736842;0.7974684;0.7974684;0.7875;0.7901235;0.5779817;0.5779817;0.5779817;0.587156;0.870295;0.8705709;0.8724564;0.8723874;0.5779817;0.5779817;0.5779817;0.587156;0.9598997;0.9598997;0.9573935;0.9573935;0.609318;0.609318;0.6093183;0.6106334
2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;knn;0.203125;0.2137405;0.1860465;0.2137405;0.6842105;0.6363636;0.6;0.6363636;0.1192661;0.1284404;0.1100917;0.1284404;0.7602148;0.7566738;0.7573751;0.7594905;0.1192661;0.1284404;0.1100917;0.1284404;0.9849624;0.9799499;0.9799499;0.9799499;0.2255043;0.2186052;0.22550433;0.2186052
2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;naive_bayes;0.5878378;0.5808581;0.5918367;0.5789474;0.4652406;0.4536082;0.4702703;0.4512821;0.7981651;0.8073394;0.7981651;0.8073394;0.8194339;0.8169736;0.8231818;0.8215263;0.7981651;0.8073394;0.7981651;0.8073394;0.7493734;0.7343358;0.754386;0.7318296;0.4660592;0.4576917;0.46605923;0.4551297
2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;rf;0.6777778;0.6923077;0.6927374;0.6961326;0.8591549;0.8630137;0.8857143;0.875;0.559633;0.5779817;0.5688073;0.5779817;0.8560622;0.8620059;0.8596491;0.8601665;0.559633;0.5779817;0.5688073;0.5779817;0.9749373;0.9749373;0.9799499;0.9774436;0.6328994;0.6470758;0.63289943;0.6537562
2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;broadleaf-3.0.10;rpart;0.6268657;0.6268657;0.5414365;0.5414365;0.6847826;0.6847826;0.6805556;0.6805556;0.5779817;0.5779817;0.4495413;0.4495413;0.7955209;0.7955209;0.8110529;0.8110529;0.5779817;0.5779817;0.4495413;0.4495413;0.9273183;0.9273183;0.9423559;0.9423559;0.5386521;0.5386521;0.53865213;0.4612776
