Iter;McCC;CC;CCL;CCO;CI;CLC;CLLC;LDC;LLDC;LCOM5;NL;NLE;WMC;CBO;CBOI;NII;NOI;RFC;AD;CD;CLOC;DLOC;PDA;PUA;TCD;TCLOC;DIT;NOA;NOC;NOD;NOP;LLOC;LOC;NATTR;NG;NLA;NLG;NLM;NLPA;NLPM;NLS;NM;NOS;NPA;NPM;NS;TLLOC;TLOC;TNA;TNG;TNLA;TNLG;TNLM;TNLPA;TNLPM;TNLS;TNM;TNOS;TNPA;TNPM;TNS;Project;Model;F1X;F1D2;F1D3;F1D4;PrecX;PrecD2;PrecD3;PrecD4;RecallX;RecallD2;RecallD3;RecallD4;AUCX;AUC2;AUC3;AUC4;SENX;SEN2;SEN3;SEN4;SPCX;SPC2;SPC3;SPC4;MCC;MCC2;MCC3;MCC4
100;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;rpart;0.1887782;0.1938102;0.2225781;0.1693936;0.2773498;0.2678822;0.2241935;0.2146341;0.1430843;0.1518283;0.2209857;0.1399046;0.6393881;0.60853;0.6412174;0.606576;0.1430843;0.1518283;0.2209857;0.1399046;0.9524678;0.9470964;0.9025033;0.9347319;0.1291079;0.1279162;0.12910793;0.09045936
100;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;knn;0.1869422;0.1776596;0.1566524;0.1780604;0.228473;0.2684887;0.2409241;0.2670906;0.1581876;0.1327504;0.1160572;0.1335453;0.639507;0.6885113;0.6620468;0.6885061;0.1581876;0.1327504;0.1160572;0.1335453;0.9318942;0.9538867;0.95338;0.9532786;0.1061975;0.1194221;0.10619753;0.1190515
100;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;naive_bayes;0.2564103;0.2746657;0.2589357;0.2781552;0.2584814;0.2518224;0.2587302;0.2527615;0.254372;0.3020668;0.2591415;0.309221;0.6747849;0.6911158;0.6793513;0.6920636;0.254372;0.3020668;0.2591415;0.309221;0.9069626;0.8855782;0.905341;0.8834499;0.162468;0.1735513;0.1624683;0.1767303
100;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;glm;0.2449355;0.253446;0.2423682;0.2492801;0.2910284;0.2875883;0.289823;0.258312;0.2114467;0.2265501;0.2082671;0.2408585;0.6930484;0.6971614;0.691328;0.6879137;0.2114467;0.2265501;0.2082671;0.2408585;0.9343265;0.9284484;0.9349346;0.9118273;0.1681139;0.1723189;0.16811393;0.1574445
100;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;rf;0.1489104;0.1726789;0.1560024;0.1622596;0.3121827;0.3371824;0.3342037;0.3325123;0.09777424;0.1160572;0.1017488;0.1073132;0.7071629;0.7168167;0.7103123;0.7101455;0.09777424;0.1160572;0.1017488;0.1073132;0.9725347;0.9709131;0.9741563;0.9725347;0.120469;0.1424068;0.1204693;0.1348517
100;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ceylon-ide-eclipse-1.1.0;rpart;0.1463187;0.1463187;0.1463187;0.15427;0.2346786;0.2346786;0.2346786;0.2396576;0.1062965;0.1062965;0.1062965;0.1137441;0.5717181;0.5717181;0.5717181;0.5421485;0.1062965;0.1062965;0.1062965;0.1137441;0.9500098;0.9500098;0.9500098;0.9479594;0.08054628;0.08054628;0.080546283;0.08635386
100;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ceylon-ide-eclipse-1.1.0;knn;0.01338688;0.005394471;0.01205626;0.005394471;0.5882353;0.6666667;0.5625;0.6666667;0.006770481;0.002708192;0.006093433;0.002708192;0.5698279;0.5777518;0.5731531;0.5772505;0.006770481;0.002708192;0.006093433;0.002708192;0.9993165;0.9998047;0.9993165;0.9998047;0.05308024;0.03686814;0.053080243;0.03686814
100;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ceylon-ide-eclipse-1.1.0;naive_bayes;0.1971042;0.2043258;0.2003763;0.2121771;0.3177711;0.3189655;0.3281972;0.3328509;0.1428571;0.1503047;0.1442112;0.1557211;0.5990653;0.6103098;0.6068727;0.6160367;0.1428571;0.1503047;0.1442112;0.1557211;0.9557704;0.95372;0.9574302;0.9549893;0.141585;0.1460711;0.1415853;0.1559852
100;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ceylon-ide-eclipse-1.1.0;glm;0.02770449;0.02772277;0.02902375;0.02253148;0.5384615;0.5526316;0.5641026;0.53125;0.01421801;0.01421801;0.01489506;0.01150982;0.6621311;0.6622757;0.6594124;0.6497234;0.01421801;0.01421801;0.01489506;0.01150982;0.9982425;0.9983402;0.9983402;0.9985354;0.07180683;0.0733124;0.071806833;0.0638877
100;0;0;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;ceylon-ide-eclipse-1.1.0;rf;0.02650762;0.03430079;0.02913907;0.03038309;0.625;0.6666667;0.6666667;0.6216216;0.01354096;0.01760325;0.01489506;0.01557211;0.6713102;0.6757055;0.6727836;0.6767514;0.01354096;0.01760325;0.01489506;0.01557211;0.9988284;0.9987307;0.998926;0.9986331;0.07866867;0.09412838;0.078668673;0.08403691
