Iter;McCC;CC;CCL;CCO;CI;CLC;CLLC;LDC;LLDC;LCOM5;NL;NLE;WMC;CBO;CBOI;NII;NOI;RFC;AD;CD;CLOC;DLOC;PDA;PUA;TCD;TCLOC;DIT;NOA;NOC;NOD;NOP;LLOC;LOC;NATTR;NG;NLA;NLG;NLM;NLPA;NLPM;NLS;NM;NOS;NPA;NPM;NS;TLLOC;TLOC;TNA;TNG;TNLA;TNLG;TNLM;TNLPA;TNLPM;TNLS;TNM;TNOS;TNPA;TNPM;TNS;Project;Model;F1X;F1D2;F1D3;F1D4;PrecX;PrecD2;PrecD3;PrecD4;RecallX;RecallD2;RecallD3;RecallD4;AUCX;AUC2;AUC3;AUC4;SENX;SEN2;SEN3;SEN4;SPCX;SPC2;SPC3;SPC4;MCC;MCC2;MCC3;MCC4
1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;glm;0.6111111;0.5869565;0.6145251;0.6153846;0.7746479;0.72;0.7857143;0.7671233;0.5045872;0.4954128;0.5045872;0.5137615;0.8238716;0.8221241;0.8244694;0.8290451;0.5045872;0.4954128;0.5045872;0.5137615;0.9598997;0.9473684;0.962406;0.9573935;0.5499248;0.5124062;0.54992483;0.5513881
1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;knn;0.628866;0.6294416;0.6315789;0.6217617;0.7176471;0.7045455;0.7407407;0.7142857;0.559633;0.5688073;0.5504587;0.5504587;0.7939229;0.8080292;0.7994873;0.8235497;0.559633;0.5688073;0.5504587;0.5504587;0.9398496;0.9348371;0.9473684;0.9398496;0.549339;0.5463334;0.5493393;0.5418092
1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;naive_bayes;0.66;0.6666667;0.6567164;0.6481481;0.7252747;0.6826923;0.7173913;0.6542056;0.6055046;0.6513761;0.6055046;0.6422018;0.8212274;0.8306316;0.8251592;0.8329769;0.6055046;0.6513761;0.6055046;0.6422018;0.9373434;0.9172932;0.9348371;0.9072682;0.5811512;0.578565;0.58115123;0.5531967
1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;rf;0.6436782;0.6363636;0.6358382;0.6285714;0.8615385;0.8358209;0.859375;0.8333333;0.5137615;0.5137615;0.5045872;0.5045872;0.8518659;0.8520039;0.8483824;0.8522913;0.5137615;0.5137615;0.5045872;0.5045872;0.9774436;0.9724311;0.9774436;0.9724311;0.6036761;0.5898632;0.60367613;0.5824405
1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;rpart;0.631016;0.631016;0.631016;0.631016;0.7564103;0.7564103;0.7564103;0.7564103;0.5412844;0.5412844;0.5412844;0.5412844;0.7459359;0.7459359;0.7459359;0.7459359;0.5412844;0.5412844;0.5412844;0.5412844;0.952381;0.952381;0.952381;0.952381;0.5621482;0.5621482;0.56214823;0.5621482
2;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;glm;0.5901639;0.5968586;0.5856354;0.6349206;0.7297297;0.695122;0.7361111;0.75;0.4954128;0.5229358;0.4862385;0.5504587;0.826102;0.8287002;0.8248603;0.8310915;0.4954128;0.5229358;0.4862385;0.5504587;0.9498747;0.9373434;0.952381;0.9498747;0.5181786;0.5135814;0.51817863;0.5638873
2;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;knn;0.6229508;0.6521739;0.625;0.6557377;0.7702703;0.8;0.7228916;0.8108108;0.5229358;0.5504587;0.5504587;0.5504587;0.8203536;0.8496126;0.8157665;0.8478191;0.5229358;0.5504587;0.5504587;0.5504587;0.9573935;0.962406;0.9423559;0.9649123;0.5589565;0.5935099;0.55895653;0.5997344
2;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;naive_bayes;0.6145833;0.6534653;0.6492147;0.6534653;0.7108434;0.7096774;0.7560976;0.7096774;0.5412844;0.6055046;0.5688073;0.6055046;0.8441287;0.8508887;0.8435998;0.8489343;0.5412844;0.6055046;0.5688073;0.6055046;0.9398496;0.9323308;0.9498747;0.9323308;0.5342349;0.5709309;0.53423493;0.5709309
2;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;rf;0.6666667;0.6702128;0.6702703;0.673913;0.8243243;0.7974684;0.8157895;0.8266667;0.559633;0.5779817;0.5688073;0.5688073;0.8676508;0.8653515;0.865018;0.8680072;0.559633;0.5779817;0.5688073;0.5688073;0.9674185;0.9598997;0.9649123;0.9674185;0.613327;0.609318;0.6133273;0.6205444
2;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;rpart;0.5918367;0.6108374;0.5918367;0.6108374;0.6666667;0.6595745;0.6666667;0.6595745;0.5321101;0.5688073;0.5321101;0.5688073;0.7752638;0.8024304;0.7752638;0.8024304;0.5321101;0.5688073;0.5321101;0.5688073;0.9273183;0.9197995;0.9273183;0.9197995;0.50063;0.5165295;0.500633;0.5165295
3;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;glm;0.5561497;0.5684211;0.5638298;0.5906736;0.6666667;0.6666667;0.6708861;0.6785714;0.4770642;0.4954128;0.4862385;0.5229358;0.8171691;0.8141684;0.8181923;0.8230438;0.4770642;0.4954128;0.4862385;0.5229358;0.9348371;0.9323308;0.9348371;0.9323308;0.4690416;0.4796526;0.46904163;0.5030868
3;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;knn;0.6010929;0.6137566;0.6129032;0.622449;0.7432432;0.725;0.7402597;0.7011494;0.5045872;0.5321101;0.5229358;0.559633;0.8488653;0.8320112;0.8387482;0.8130648;0.5045872;0.5321101;0.5229358;0.559633;0.952381;0.9448622;0.9498747;0.9348371;0.5317713;0.5375587;0.53177133;0.5388143
3;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;broadleaf-3.0.10;naive_bayes;0.6020408;0.6411483;0.6060606;0.6540284;0.6781609;0.67;0.6741573;0.6764706;0.5412844;0.6146789;0.5504587;0.6330275;0.831149;0.8367708;0.8347474;0.8391391;0.5412844;0.6146789;0.5504587;0.6330275;0.9298246;0.9172932;0.9273183;0.9172932;0.5133581;0.5492354;0.51335813;0.5639654
